terminal       | Additive       | AdditiveTail   | AfterAssign    | ArgList        | ArgListOpt     | ArgTail        | Block          | Class          | EXPR           | Equality       | EqualityTail   | FuncDecl       | FuncHead       | FuncList       | FuncName       | IsExpr         | IsExprTail     | LogicAnd       | LogicAndTail   | LogicOr        | LogicOrTail    | Multiplicative | MultiplicativeTail | ParamList      | ParamListOpt   | ParamTail      | Primary        | PrimaryIdentTail | Program        | Prolog         | Relational     | RelationalTail | Stmt           | StmtList       | Term           | TypeKeyword    | Unary         
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!              | R57            |                | R25            |                |                |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                |                |                |                |                | R54            |                |                |                |                |                | R63           
!=             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
=              |                |                |                |                |                |                |                |                |                |                |                |                | R8             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
==             |                |                |                |                |                |                |                |                |                |                | R46            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
>              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
>=             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
EOL            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
Ifj            | R57            |                | R25            |                |                |                |                |                | R38            | R45            |                |                |                |                | R26            | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R71            |                |                |                | R54            |                |                |                |                |                | R64           
Null           |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R53            |               
Num            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R52            |               
String         |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R51            |               
class          |                |                |                |                |                |                |                | R3             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
else           |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
for            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
gident         | R57            |                | R25            | R30            | R28            |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R68            |                |                |                | R54            |                | R23            | R16            | R37            |                | R64           
ident          | R57            |                | R25            | R30            | R28            |                |                |                | R38            | R45            |                |                |                |                | R27            | R48            |                | R42            |                | R39            |                | R60            |                | R12            | R10            |                | R70            |                |                |                | R54            |                | R22            | R16            | R36            |                | R64           
if             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R19            | R16            |                |                |               
ifj25          |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
import         |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R1             | R2             |                |                |                |                |                |                |               
is             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R49            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
null           | R57            |                | R25            | R30            | R28            |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R67            |                |                |                | R54            |                |                |                | R35            |                | R64           
num_lit        | R57            |                | R25            | R30            | R28            |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R65            |                |                |                | R54            |                |                |                | R33            |                | R64           
return         |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R21            | R16            |                |                |               
static         |                |                |                |                |                |                |                |                |                |                |                | R6             |                | R4             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
str_lit        | R57            |                | R25            | R30            | R28            |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R66            |                |                |                | R54            |                |                |                | R34            |                | R64           
var            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R18            | R16            |                |                |               
while          |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R20            | R16            |                |                |               
{              |                |                |                |                |                |                | R15            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
||             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R40            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
}              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
